5.05,-0.207,-0.193,-0.178,-0.153,-0.105,-0.016,0.138,0.377,0.71,1.109,1.547,2.028,2.524,3.01,3.491,3.921,4.274,4.529,4.705
5.1,-0.118,-0.096,-0.072,-0.039,0.007,0.086,0.225,0.437,0.734,1.115,1.556,2.026,2.512,3.006,3.471,3.877,4.202,4.434,4.595
5.15,-0.069,-0.024,0.022,0.072,0.135,0.227,0.362,0.553,0.821,1.172,1.59,2.047,2.519,2.998,3.439,3.81,4.102,4.313,4.468
5.2,-0.08,-0.018,0.051,0.13,0.222,0.339,0.493,0.691,0.941,1.258,1.647,2.084,2.534,2.989,3.394,3.719,3.978,4.177,4.333
5.25,-0.143,-0.071,0.013,0.114,0.235,0.384,0.566,0.782,1.028,1.323,1.688,2.103,2.535,2.962,3.328,3.613,3.843,4.035,4.195
5.3,-0.228,-0.153,-0.065,0.044,0.183,0.357,0.569,0.811,1.076,1.373,1.716,2.106,2.519,2.914,3.245,3.497,3.707,3.894,4.06
5.35,-0.32,-0.255,-0.171,-0.063,0.075,0.256,0.486,0.756,1.051,1.366,1.709,2.081,2.473,2.848,3.15,3.379,3.574,3.759,3.929
5.4,-0.39,-0.341,-0.272,-0.177,-0.052,0.116,0.347,0.641,0.97,1.314,1.667,2.033,2.413,2.769,3.05,3.263,3.449,3.632,3.804
5.45,-0.434,-0.404,-0.352,-0.272,-0.159,-0.002,0.219,0.517,0.87,1.242,1.612,1.979,2.348,2.686,2.951,3.151,3.332,3.513,3.686
5.5,-0.454,-0.438,-0.407,-0.35,-0.257,-0.115,0.089,0.375,0.738,1.14,1.541,1.922,2.283,2.606,2.855,3.047,3.225,3.404,3.579
5.55,-0.461,-0.454,-0.437,-0.402,-0.333,-0.212,-0.022,0.26,0.635,1.058,1.478,1.863,2.222,2.531,2.767,2.952,3.127,3.304,3.482
5.6,-0.464,-0.46,-0.45,-0.429,-0.386,-0.294,-0.122,0.156,0.54,0.984,1.419,1.813,2.166,2.463,2.687,2.866,3.041,3.216,3.396
5.65,-0.465,-0.461,-0.454,-0.441,-0.415,-0.353,-0.218,0.038,0.426,0.893,1.356,1.765,2.118,2.402,2.617,2.792,2.963,3.137,3.324
